County,2014 Cases,2015 Cases,2016 Cases,2017 Cases,2018 Cases,2019 Cases,2020 Cases,2021 Cases,2022 Cases,2023 Cases
Anderson,0,1,1,0,0,0,0,0,0,0
Andrews,0,0,0,0,0,0,0,0,0,0
Angelina,3,4,7,0,1,0,0,0,0,0
Aransas,0,0,0,0,0,0,0,0,0,0
Archer,0,0,0,0,0,0,0,0,0,0
Armstrong,0,2,0,0,0,0,0,0,0,0
Atascosa,0,0,0,0,0,0,0,0,0,0
Austin,2,0,0,0,0,0,0,0,0,0
Bailey,2,1,0,0,1,0,0,1,0,0
Bandera,0,0,0,0,0,0,0,0,0,0
Bastrop,1,0,5,0,0,0,0,0,0,0
Baylor,0,4,0,0,0,0,0,0,0,0
Bee,0,0,0,0,0,0,0,0,0,0
Bell,0,0,2,0,0,0,0,0,0,1
Bexar,5,4,2,4,0,0,0,2,1,4
Blanco,0,0,0,0,0,0,1,0,0,0
Borden,0,0,0,0,0,0,0,0,0,0
Bosque,0,0,2,0,0,0,0,0,0,0
Bowie,0,0,2,2,0,0,0,0,0,2
Brazoria,8,0,3,0,0,1,0,2,0,0
Brazos,3,0,2,0,2,0,1,0,0,0
Brewster,0,0,0,0,0,0,0,0,0,0
Briscoe,4,2,0,0,0,0,0,0,0,0
Brooks,0,0,0,0,0,0,0,0,0,0
Brown,0,0,2,0,0,0,0,0,0,0
Burleson,0,0,0,0,0,0,0,0,0,0
Burnet,0,0,0,0,0,0,0,0,0,0
Caldwell,0,0,0,0,0,0,0,0,0,0
Calhoun,0,1,0,0,0,0,0,0,0,0
Callahan,0,0,1,0,0,0,0,0,0,0
Cameron,0,0,0,0,1,0,1,0,0,0
Camp,0,0,0,0,0,0,0,0,0,0
Carson,0,1,0,0,1,0,0,0,0,0
Cass,0,2,2,0,0,0,0,0,0,0
Castro,5,2,0,0,1,0,0,0,0,0
Chambers,0,0,0,0,1,0,0,0,0,0
Cherokee,0,0,1,0,0,0,0,0,0,0
Childress,0,0,0,0,0,0,0,0,0,0
Clay,1,1,0,0,0,0,0,0,0,0
Cochran,0,0,0,0,0,0,0,0,0,0
Coke,0,0,0,0,0,0,0,0,0,0
Coleman,0,0,0,0,0,0,0,0,0,0
Collin,1,5,22,12,4,0,4,0,0,2
